ID,cluster1,cluster2,loc
MR_6,0.04,0.96,MR
MR_7,0.992,0.008,MR
MR_8,0.985,0.015,MR
MR_37,0.136,0.864,MR
MR_48,0.092,0.908,MR
WB_36,0.025,0.975,WB
MR_9,0.087,0.913,MR
MR_1,0.021,0.979,MR
MR_10,0.014,0.986,MR
MR_3,0.02,0.98,MR
MR_11,0.514,0.486,MR
MR_41,0.424,0.576,MR
MR_4,0.655,0.345,MR
MR_12,0.008,0.992,MR
MR_44,0.25,0.75,MR
MR_5,0.646,0.354,MR
MR_13,0.008,0.992,MR
HB_2021_10,0.107,0.893,HB
HB_18,0.126,0.874,HB
HB_26,0.009,0.991,HB
PB_9,0.009,0.991,PB
PB_32,0.798,0.202,PB
PB_47,0.326,0.674,PB
WB_14,0.024,0.976,WB
WB_26,0.095,0.905,WB
WB_38,0.021,0.979,WB
HB_19,0.017,0.983,HB
HB_28,0.099,0.901,HB
PB_11,0.996,0.004,PB
PB_48,0.072,0.928,PB
WB_16,0.025,0.975,WB
WB_27,0.325,0.675,WB
HB_12,0.092,0.908,HB
HB_20,0.043,0.957,HB
PB_12,0.036,0.964,PB
PB_41,0.292,0.708,PB
PB_49,0.232,0.768,PB
WB_20,0.024,0.976,WB
WB_30,0.027,0.973,WB
HB_13,0.003,0.997,HB
PB_42,0.051,0.949,PB
PB_50,0.008,0.992,PB
WB_21,0.036,0.964,WB
WB_31,0.027,0.973,WB
HB_22,0.019,0.981,HB
PB_4,0.003,0.997,PB
PB_43,0.15,0.85,PB
WB_3,0.013,0.987,WB
WB_22,0.077,0.923,WB
WB_32,0.1,0.9,WB
HB_15,0.046,0.954,HB
HB_23,0.084,0.916,HB
PB_06,0.064,0.936,HB
PB_26,0.831,0.169,PB
PB_44,0.164,0.836,PB
WB_23,0.134,0.866,WB
WB_35,0.036,0.964,WB
HB_16,0.034,0.966,HB
HB_24,0.163,0.837,HB
PB_07,0.039,0.961,PB
PB_28,0.969,0.031,PB
PB_45,0.325,0.675,PB
WB_11,0.039,0.961,WB
WB_24,0.007,0.993,WB
HB_17,0.043,0.957,HB
HB_25,0.012,0.988,HB
PB_8,0.151,0.849,PB
PB_30,0.011,0.989,PB
PB_46,0.18,0.82,PB
WB_13,0.008,0.992,WB
GB_1,0.025,0.975,GB
GB_10,0.042,0.958,GB
GB_18,0.172,0.828,GB
GB_28,0.054,0.946,GB
GB_2,0.447,0.553,GB
GB_11,0.036,0.964,GB
GB_19,0.223,0.777,GB
GB_29,0.514,0.486,GB
GB_3,0.244,0.756,GB
GB_12,0.156,0.844,GB
GB_20,0.008,0.992,GB
GB_30,0.064,0.936,GB
GB_4,0.342,0.658,GB
GB_13,0.978,0.022,GB
GB_21,0.993,0.007,GB
GB_31,0.535,0.465,GB
GB_5,0.871,0.129,GB
GB_14,0.256,0.744,GB
GB_22,0.601,0.399,GB
GB_32,0.831,0.169,GB
GB_6,0.08,0.92,GB
GB_15,0.07,0.93,GB
GB_23,0.998,0.002,GB
GB_7,0.48,0.52,GB
GB_16,0.145,0.855,GB
GB_26,0.043,0.957,GB
GB_8,0.99,0.01,GB
GB_17,0.998,0.002,GB
GB_27,0.01,0.99,GB
HB_9,0.008,0.992,HB
HFB_7,0.016,0.984,HFB
HFB_16,0.065,0.935,HFB
HFB_24,0.345,0.655,HFB
MB_24,0.035,0.965,MB
HB_10,0.228,0.772,HB
HFB_8,0.078,0.922,HFB
HFB_17,0.079,0.921,HFB
HFB_25,0.125,0.875,HFB
HB_3,0.016,0.984,HB
HB_11,0.02,0.98,HB
HFB_18,0.871,0.129,HFB
MB_1,0.019,0.981,MB
HB_4,0.009,0.991,HB
HFB_19,0.067,0.933,HFB
HB_5,0.006,0.994,HB
HFB_11,0.397,0.603,HFB
MB_5,0.046,0.954,MB
HB_6,0.03,0.97,HB
HFB_12,0.036,0.964,HFB
MB_6,0.034,0.966,MB
MB_20,0.006,0.994,MB
HB_7,0.308,0.692,HB
HFB_5,0.056,0.944,HFB
HFB_13,0.1,0.9,HFB
HB_8,0.092,0.908,HB
HFB_14,0.022,0.978,HFB
HFB_23,0.011,0.989,HFB
MB_22,0.159,0.841,MB
