ID,cluster1,cluster2,loc
A1,0.001,0.999,SO
A159,0.002,0.998,SO
A13,0.007,0.993,SO
A85,0.002,0.998,WP
A102,0.001,0.999,LPB
A113,0.001,0.999,LPB
A125,0.001,0.999,LPB
A138,0.008,0.992,LPB
A149,0.001,0.999,LPB
A160,0.005,0.995,SO
B2,0.001,0.999,SO
B15,0.002,0.998,SO
A88,0.001,0.999,WP
A105,0.002,0.998,LPB
A114,0.002,0.998,LPB
A126,0.023,0.977,LPB
A139,0.007,0.993,LPB
A150,0.001,0.999,LPB
A161,0.002,0.998,SO
B3,0.002,0.998,SO
A17,0.001,0.999,SO
A89,0.002,0.998,WP
A106,0.005,0.995,LPB
A116,0.013,0.987,LPB
A127,0.004,0.996,LPB
A140,0.004,0.996,LPB
A151,0.001,0.999,SO
A164,0.002,0.998,SO
B7,0.001,0.999,SO
A18,0,1,SO
A28,0.015,0.985,SO
A90,0.004,0.996,WP
A107,0.001,0.999,LPB
A117,0.004,0.996,LPB
A130,0.001,0.999,LPB
A141,0.002,0.998,LPB
A152,0.02,0.98,SO
A166,0.014,0.986,SO
B19,0.005,0.995,SO
A29,0.003,0.997,SO
A92,0.003,0.997,WP
A108,0.023,0.977,LPB
A120,0.002,0.998,LPB
A132,0.004,0.996,LPB
A142,0.002,0.998,LPB
A153,0.004,0.996,SO
A167,0.001,0.999,SO
B21,0.001,0.999,SO
A31,0.002,0.998,SO
A109,0.003,0.997,LPB
A122,0.014,0.986,LPB
A134,0.001,0.999,LPB
A145,0.002,0.998,LPB
A168,0.001,0.999,SO
B10,0,1,SO
A22,0.012,0.988,SO
A82,0.001,0.999,WP
A100,0.001,0.999,WP
A111,0.002,0.998,LPB
A123,0.002,0.998,LPB
A135,0.002,0.998,LPB
A146,0.008,0.992,LPB
A155,0.001,0.999,SO
A169,0.001,0.999,SO
A23,0.001,0.999,SO
A84,0.001,0.999,WP
A101,0.002,0.998,LPB
A112,0.003,0.997,LPB
A136,0.001,0.999,LPB
A148,0.002,0.998,LPB
A156,0.001,0.999,SO
HaR_12,0.454,0.546,HaR
HaR__31,0.001,0.999,HaR
HaR_40,0.002,0.998,HaR
MR_6,0.995,0.005,MR
KR_41,0.014,0.986,KR
KR_49,0.001,0.999,KR
HaR_15,0.001,0.999,HaR
HaR_32,0.016,0.984,HaR
HaR_41,0.001,0.999,HaR
MR_7,0.998,0.002,MR
KR_30,0.001,0.999,KR
KR_50,0.005,0.995,KR
HaR_19,0.005,0.995,HaR
HaR_33,0.004,0.996,HaR
HaR_42,0.015,0.985,HaR
MR_37,1,0,MR
MR_48,0.994,0.006,MR
KR_31,0.003,0.997,KR
KR_43,0.001,0.999,KR
HaR_1,0.003,0.997,HaR
HaR_20,0.001,0.999,HaR
HaR_34,0.003,0.997,HaR
HaR_43,0.98,0.02,HaR
WB_36,0.999,0.001,WB
MR_9,0.985,0.015,MR
KR_32,0.009,0.991,KR
KR_44,0.297,0.703,KR
HaR_7,0.998,0.002,HaR
HaR_23,0.003,0.997,HaR
HaR_35,0.004,0.996,HaR
HaR_44,0.003,0.997,HaR
MR_1,0.995,0.005,MR
MR_10,0.992,0.008,MR
KR_33,0.012,0.988,KR
KR_45,0.001,0.999,KR
HaR_8,0.002,0.998,HaR
HaR_24,1,0,HaR
HaR_36,0.002,0.998,HaR
HaR_50,0.002,0.998,HaR
MR_3,0.997,0.003,MR
MR_11,0.998,0.002,MR
MR_41,1,0,MR
KR_34,0.001,0.999,KR
HaR_9,0.067,0.933,HaR
HaR_25,0.001,0.999,HaR
HaR_37,0.002,0.998,HaR
MR_4,1,0,MR
MR_44,0.999,0.001,MR
KR_35,0.003,0.997,KR
KR_47,0.011,0.989,KR
HaR_10,0.151,0.849,HaR
