id,pop,lat,lon,sex,maturity,location
WB_36,WB,-19.1167,146.814932,Unknown,Adult,Magnetic Island
A1,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A10,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A100,WP,-18.55417,146.48845,Unknown,Adult,Pelorus
A101,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A102,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A105,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A106,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A107,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A108,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A109,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A11,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A111,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A112,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A113,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A114,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A116,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A117,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A120,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A122,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A123,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A124,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A125,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A126,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A127,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A13,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A130,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A132,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A134,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A135,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A136,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A138,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A139,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A140,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A141,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A142,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A145,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A146,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A148,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A149,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A15,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A150,LPB,-18.59814,146.4849789,Unknown,Adult,Orpheus
A151,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A152,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A153,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A154,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A155,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A156,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A159,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A160,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A161,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A164,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A166,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A167,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A168,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A169,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A17,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A18,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A19,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A2,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A21,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A22,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A23,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A24,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A25,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A28,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A29,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A3,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A31,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
A7,SO,-18.661791,146.499811,Unknown,Adult,Orpheus
