id pop
A1 ADJ
A159 ADJ
A13 ADJ
A24 ADJ
A85 ADJ
A102 ADJ
A113 ADJ
A125 ADJ
A138 ADJ
A149 ADJ
A160 ADJ
B2 ADJ
B15 ADJ
A88 ADJ
A105 ADJ
A114 ADJ
A126 ADJ
A139 ADJ
A150 ADJ
A161 ADJ
B3 ADJ
A89 ADJ
A106 ADJ
A116 ADJ
A127 ADJ
A140 ADJ
A151 ADJ
A164 ADJ
B7 ADJ
A18 ADJ
A28 ADJ
A90 ADJ
A107 ADJ
A117 ADJ
A130 ADJ
A141 ADJ
A152 ADJ
A166 ADJ
B19 ADJ
A29 ADJ
A92 ADJ
A108 ADJ
A120 ADJ
A132 ADJ
A142 ADJ
A153 ADJ
A167 ADJ
B21 ADJ
A99 ADJ
A109 ADJ
A122 ADJ
A134 ADJ
A145 ADJ
A168 ADJ
B10 ADJ
A22 ADJ
A82 ADJ
A111 ADJ
A123 ADJ
A135 ADJ
A146 ADJ
A155 ADJ
A169 ADJ
A84 ADJ
A101 ADJ
A112 ADJ
A136 ADJ
A148 ADJ
A156 ADJ
HaR_06/05/2022_31 ADJ
HaR_06/05/2022_40 ADJ
MR_14/03/2022_6 MI
KR_29/03/2022_41 ADJ
KR_29/03/2022_49 ADJ
HaR_06/05/2022_15 ADJ
HaR_06/05/2022_32 ADJ
HaR_06/05/2022_41 ADJ
MR_14/03/2022_7 MI
KR_29/03/2022_30 ADJ
KR_29/03/2022_50 ADJ
HaR_06/05/2022_19 ADJ
HaR_06/05/2022_33 ADJ
HaR_06/05/2022_42 ADJ
MR_14/03/2022_37 MI
MR_14/03/2022_48 MI
KR_29/03/2022_31 ADJ
KR_29/03/2022_43 ADJ
HaR_06/05/2022_1 ADJ
HaR_06/05/2022_20 ADJ
HaR_06/05/2022_34 ADJ
WB_36 MI
MR_14/03/2022_9 MI
KR_29/03/2022_32 ADJ
HaR_06/05/2022_23 ADJ
HaR_06/05/2022_35 ADJ
HaR_06/05/2022_44 ADJ
MR_14/03/2022_1 MI
MR_14/03/2022_10 MI
KR_29/03/2022_33 ADJ
KR_29/03/2022_45 ADJ
HaR_06/05/2022_8 ADJ
HaR_06/05/2022_36 ADJ
HaR_06/05/2022_50 ADJ
MR_14/03/2022_3 MI
MR_14/03/2022_11 MI
MR_14/03/2022_41 MI
